Game Length,Player Movement,Die Rolls,Snakes and Ladders
26,"[0, 3, 8, 12, 13, 16, 19, 42, 43, 47, 50, 56, 58, 60, 66, 69, 73, 79, 84, 89, 75, 79, 81, 85, 90, 94, 100]","[3, 5, 4, 1, 3, 3, 2, 1, 4, 3, 6, 2, 2, 6, 3, 4, 6, 5, 5, 6, 4, 2, 4, 5, 4, 6]",L-21 S-95 
111,"[0, 2, 6, 10, 15, 16, 19, 25, 29, 32, 34, 38, 42, 43, 48, 34, 39, 44, 46, 48, 34, 37, 41, 46, 48, 49, 34, 39, 40, 42, 47, 67, 91, 94, 79, 82, 83, 88, 92, 79, 81, 24, 30, 32, 35, 40, 46, 52, 57, 61, 65, 67, 69, 70, 74, 77, 83, 85, 91, 94, 99, 38, 43, 48, 52, 53, 55, 58, 59, 61, 60, 60, 66, 67, 68, 69, 75, 76, 81, 85, 86, 91, 97, 2, 14, 16, 22, 25, 84, 86, 90, 75, 76, 78, 83, 84, 90, 96, 38, 44, 48, 50, 52, 34, 35, 40, 45, 67, 91, 94, 99, 100]","[2, 4, 4, 5, 1, 3, 6, 4, 3, 2, 4, 4, 1, 5, 6, 5, 5, 2, 2, 6, 3, 4, 5, 2, 1, 5, 5, 1, 2, 5, 4, 4, 3, 4, 3, 1, 5, 4, 6, 2, 6, 6, 2, 3, 5, 6, 6, 5, 4, 4, 2, 2, 1, 4, 3, 6, 2, 6, 3, 5, 2, 5, 5, 4, 1, 2, 3, 1, 2, 3, 4, 6, 1, 1, 1, 6, 1, 5, 4, 1, 5, 6, 5, 2, 2, 6, 3, 3, 2, 4, 5, 1, 2, 5, 1, 6, 6, 5, 6, 4, 2, 2, 2, 1, 5, 5, 6, 4, 3, 5, 1]",S-54 S-54 S-54 L-51 L-71 S-98 S-98 S-87 L-1 S-64 S-64 L-4 L-28 S-95 L-1 S-54 L-51 L-71 
16,"[0, 3, 6, 12, 14, 7, 11, 12, 15, 19, 42, 46, 67, 72, 74, 76, 100]","[3, 3, 6, 2, 3, 4, 1, 3, 4, 2, 4, 5, 5, 2, 2, 4]",S-17 L-21 L-51 L-80 
14,"[0, 5, 6, 31, 33, 39, 40, 46, 67, 68, 69, 75, 76, 77, 100]","[5, 1, 3, 2, 6, 1, 6, 5, 1, 1, 6, 1, 1, 3]",L-9 L-51 L-80 
106,"[0, 5, 7, 8, 10, 12, 18, 24, 29, 34, 35, 40, 43, 46, 49, 55, 56, 58, 60, 65, 91, 92, 96, 97, 2, 6, 11, 12, 14, 16, 42, 47, 50, 34, 36, 38, 40, 46, 52, 57, 60, 60, 61, 19, 22, 23, 27, 33, 35, 39, 40, 43, 48, 34, 37, 43, 49, 50, 56, 61, 65, 70, 91, 94, 75, 77, 79, 81, 85, 90, 91, 94, 99, 14, 18, 22, 24, 30, 35, 36, 40, 45, 47, 52, 58, 61, 60, 65, 67, 73, 76, 81, 84, 90, 92, 75, 76, 78, 82, 83, 84, 85, 90, 92, 73, 74, 100]","[5, 2, 1, 2, 2, 6, 6, 5, 5, 1, 5, 3, 3, 3, 6, 1, 2, 2, 5, 6, 1, 4, 1, 5, 4, 5, 1, 2, 2, 5, 5, 3, 4, 2, 2, 2, 6, 6, 5, 3, 4, 1, 1, 3, 1, 4, 6, 2, 4, 1, 3, 5, 6, 3, 6, 6, 1, 6, 5, 4, 5, 1, 3, 1, 2, 2, 2, 4, 5, 1, 3, 5, 5, 4, 4, 2, 6, 5, 1, 4, 5, 2, 5, 6, 3, 3, 5, 2, 6, 3, 5, 3, 6, 2, 3, 1, 2, 4, 1, 1, 1, 5, 2, 1, 1, 6]",L-71 L-21 S-54 S-64 S-62 S-54 L-71 S-95 L-4 S-64 S-95 S-93 L-80 
10,"[0, 3, 31, 37, 41, 46, 67, 72, 74, 75, 100]","[3, 6, 6, 4, 5, 5, 5, 2, 1, 5]",L-9 L-51 L-80 
47,"[0, 5, 7, 11, 7, 11, 7, 11, 7, 8, 13, 7, 13, 18, 42, 47, 48, 49, 34, 39, 43, 49, 52, 57, 19, 25, 29, 30, 31, 35, 38, 39, 45, 46, 48, 34, 39, 41, 47, 52, 56, 57, 60, 66, 70, 74, 75, 100]","[5, 2, 4, 6, 4, 6, 4, 6, 1, 5, 4, 6, 5, 3, 5, 1, 1, 5, 5, 4, 6, 3, 5, 5, 6, 4, 1, 1, 4, 3, 1, 6, 1, 2, 6, 5, 2, 6, 5, 4, 1, 3, 6, 4, 4, 1, 5]",S-17 S-17 S-17 S-17 L-21 S-54 S-62 S-54 L-80 
62,"[0, 6, 8, 11, 14, 15, 16, 18, 23, 24, 30, 32, 33, 38, 44, 47, 48, 34, 36, 40, 44, 45, 47, 50, 34, 39, 42, 43, 49, 55, 58, 61, 65, 70, 76, 82, 83, 84, 24, 25, 26, 84, 90, 73, 77, 83, 86, 90, 92, 73, 79, 84, 24, 84, 86, 91, 75, 81, 86, 89, 90, 96, 100]","[6, 2, 3, 3, 1, 1, 2, 5, 1, 6, 2, 1, 5, 6, 3, 1, 6, 2, 4, 4, 1, 2, 3, 4, 5, 3, 1, 6, 6, 3, 3, 4, 5, 6, 6, 1, 1, 3, 1, 1, 2, 6, 3, 4, 6, 3, 4, 2, 1, 6, 5, 3, 4, 2, 5, 4, 6, 5, 3, 1, 6, 4]",S-54 S-54 S-87 L-28 S-93 S-93 S-87 L-28 S-95 
34,"[0, 38, 39, 40, 46, 47, 48, 53, 34, 37, 39, 43, 44, 48, 50, 34, 39, 42, 44, 49, 67, 72, 76, 81, 85, 91, 75, 81, 24, 84, 85, 89, 91, 96, 100]","[1, 1, 1, 6, 1, 1, 5, 1, 3, 2, 4, 1, 4, 2, 4, 5, 3, 2, 5, 2, 5, 4, 5, 4, 6, 4, 6, 6, 4, 1, 4, 2, 5, 4]",L-1 S-54 S-54 L-51 S-95 S-87 L-28 
32,"[0, 38, 41, 42, 48, 50, 52, 53, 57, 63, 65, 67, 69, 70, 73, 75, 76, 77, 83, 24, 25, 27, 31, 32, 34, 37, 38, 40, 46, 67, 72, 78, 100]","[1, 3, 1, 6, 2, 2, 1, 4, 6, 2, 2, 2, 1, 3, 2, 1, 1, 6, 4, 1, 2, 4, 1, 2, 3, 1, 2, 6, 5, 5, 6, 2]",L-1 S-87 L-51 L-80 
135,"[0, 3, 31, 36, 42, 45, 48, 49, 52, 53, 59, 60, 63, 67, 68, 74, 77, 79, 83, 84, 85, 86, 91, 97, 3, 5, 8, 14, 16, 42, 43, 48, 50, 53, 55, 56, 59, 60, 63, 60, 63, 66, 68, 73, 78, 84, 24, 84, 24, 84, 90, 73, 76, 81, 85, 90, 73, 74, 79, 85, 89, 94, 96, 79, 85, 24, 27, 29, 31, 33, 38, 39, 45, 67, 69, 70, 91, 73, 75, 81, 86, 90, 91, 94, 79, 84, 90, 75, 79, 81, 24, 26, 84, 88, 94, 99, 5, 7, 10, 12, 14, 20, 25, 30, 33, 38, 39, 41, 43, 47, 49, 52, 56, 59, 19, 25, 30, 32, 34, 38, 44, 49, 53, 34, 37, 40, 46, 50, 56, 60, 63, 66, 91, 96, 97, 100]","[3, 6, 5, 6, 3, 3, 1, 3, 1, 6, 5, 3, 4, 1, 6, 3, 2, 4, 1, 1, 1, 5, 6, 6, 2, 3, 6, 2, 5, 1, 5, 2, 3, 2, 1, 3, 1, 3, 1, 3, 3, 2, 5, 5, 6, 3, 4, 3, 4, 6, 3, 3, 5, 4, 5, 3, 1, 5, 6, 4, 5, 2, 2, 6, 2, 3, 2, 2, 2, 5, 1, 6, 6, 2, 1, 1, 2, 2, 6, 5, 4, 1, 3, 4, 5, 6, 5, 4, 2, 6, 2, 2, 4, 6, 5, 6, 2, 3, 2, 2, 6, 5, 5, 3, 5, 1, 2, 2, 4, 2, 3, 4, 3, 3, 6, 5, 2, 2, 4, 6, 5, 4, 1, 3, 3, 6, 4, 6, 4, 3, 3, 5, 5, 1, 3]",L-9 S-64 L-21 S-64 S-87 L-28 S-87 L-28 S-93 S-93 S-98 S-87 L-51 L-71 S-93 S-98 S-95 S-87 L-28 S-62 S-54 L-71 
28,"[0, 6, 12, 7, 11, 16, 19, 42, 44, 49, 34, 35, 40, 43, 44, 45, 49, 53, 55, 60, 61, 66, 70, 76, 82, 83, 89, 75, 100]","[6, 6, 5, 4, 5, 3, 2, 2, 5, 5, 1, 5, 3, 1, 1, 4, 4, 2, 5, 1, 5, 4, 6, 6, 1, 6, 6, 5]",S-17 L-21 S-54 S-95 L-80 
99,"[0, 2, 5, 8, 11, 15, 42, 43, 44, 47, 49, 34, 38, 39, 43, 45, 49, 53, 55, 60, 61, 60, 66, 70, 91, 92, 97, 99, 5, 10, 13, 18, 22, 24, 25, 29, 32, 35, 36, 41, 42, 43, 44, 49, 55, 59, 65, 66, 70, 76, 81, 86, 88, 94, 96, 2, 8, 11, 12, 14, 18, 19, 23, 26, 31, 37, 42, 45, 47, 49, 52, 34, 37, 41, 45, 47, 67, 91, 92, 79, 85, 86, 88, 91, 73, 79, 81, 82, 83, 86, 92, 73, 79, 84, 86, 89, 73, 76, 78, 100]","[2, 3, 3, 3, 4, 6, 1, 1, 3, 2, 5, 4, 1, 4, 2, 4, 4, 2, 5, 1, 3, 6, 4, 1, 1, 5, 2, 6, 5, 3, 5, 4, 2, 1, 4, 3, 3, 1, 5, 1, 1, 1, 5, 6, 4, 6, 1, 4, 6, 5, 5, 2, 6, 2, 6, 6, 3, 1, 2, 4, 1, 4, 3, 5, 6, 5, 3, 2, 2, 3, 2, 3, 4, 4, 2, 4, 4, 1, 6, 6, 1, 2, 3, 2, 6, 2, 1, 1, 3, 6, 1, 6, 5, 2, 3, 4, 3, 2, 2]",L-21 S-54 S-64 L-71 S-54 L-51 L-71 S-98 S-93 S-93 S-93 L-80 
29,"[0, 3, 6, 12, 7, 12, 13, 15, 16, 7, 31, 37, 41, 43, 47, 67, 70, 76, 79, 83, 84, 90, 73, 75, 79, 84, 88, 91, 75, 100]","[3, 3, 6, 5, 5, 1, 2, 1, 1, 2, 6, 4, 2, 4, 4, 3, 6, 3, 4, 1, 6, 3, 2, 4, 5, 4, 3, 4, 5]",S-17 S-17 L-9 L-51 S-93 S-95 L-80 
51,"[0, 38, 39, 42, 48, 34, 37, 38, 42, 43, 47, 52, 53, 59, 19, 22, 23, 25, 84, 89, 73, 78, 84, 88, 73, 77, 79, 85, 88, 90, 91, 96, 38, 43, 44, 48, 34, 36, 40, 44, 45, 49, 34, 35, 36, 40, 43, 49, 67, 72, 76, 100]","[1, 1, 3, 6, 6, 3, 1, 4, 1, 4, 5, 1, 6, 3, 3, 1, 2, 3, 5, 4, 5, 6, 4, 5, 4, 2, 6, 3, 2, 1, 5, 5, 5, 1, 4, 6, 2, 4, 4, 1, 4, 5, 1, 1, 4, 3, 6, 2, 5, 4, 4]",L-1 S-54 S-62 L-28 S-93 S-93 L-1 S-54 S-54 L-51 L-80 
20,"[0, 2, 5, 7, 31, 36, 42, 47, 50, 55, 61, 60, 19, 24, 27, 84, 88, 73, 78, 79, 100]","[2, 3, 2, 2, 5, 6, 5, 3, 5, 6, 3, 2, 5, 3, 1, 4, 5, 5, 1, 1]",L-9 S-64 S-62 L-28 S-93 L-80 
65,"[0, 5, 7, 12, 16, 42, 48, 53, 58, 63, 60, 60, 66, 72, 75, 81, 85, 86, 89, 91, 73, 78, 83, 86, 89, 73, 79, 85, 90, 75, 77, 82, 84, 90, 73, 76, 82, 86, 24, 25, 31, 32, 37, 40, 42, 47, 53, 55, 61, 60, 19, 25, 30, 32, 33, 34, 35, 40, 41, 45, 46, 67, 68, 73, 78, 100]","[5, 2, 5, 4, 5, 6, 5, 5, 5, 1, 4, 6, 6, 3, 6, 4, 1, 3, 2, 2, 5, 5, 3, 3, 4, 6, 6, 5, 5, 2, 5, 2, 6, 3, 3, 6, 4, 1, 1, 6, 1, 5, 3, 2, 5, 6, 2, 6, 3, 2, 6, 5, 2, 1, 1, 1, 5, 1, 4, 1, 5, 1, 5, 5, 2]",L-21 S-64 S-64 S-93 S-93 S-95 S-93 S-87 S-64 S-62 L-51 L-80 
16,"[0, 38, 39, 41, 47, 67, 73, 79, 84, 88, 94, 79, 84, 90, 75, 76, 100]","[1, 1, 2, 6, 4, 6, 6, 5, 4, 6, 4, 5, 6, 5, 1, 4]",L-1 L-51 S-98 S-95 L-80 
66,"[0, 5, 10, 12, 14, 16, 42, 45, 67, 91, 73, 77, 81, 24, 25, 31, 37, 42, 46, 48, 53, 59, 65, 66, 69, 73, 79, 85, 90, 91, 96, 99, 2, 6, 31, 34, 37, 39, 40, 46, 67, 69, 75, 77, 83, 89, 92, 94, 97, 2, 14, 20, 23, 24, 26, 29, 34, 35, 40, 43, 46, 49, 67, 91, 94, 97, 100]","[5, 5, 2, 2, 2, 5, 3, 6, 4, 2, 4, 4, 6, 1, 6, 6, 5, 4, 2, 5, 6, 6, 1, 3, 4, 6, 6, 5, 1, 5, 3, 3, 4, 3, 3, 3, 2, 1, 6, 5, 2, 6, 2, 6, 6, 3, 2, 3, 5, 2, 6, 3, 1, 2, 3, 5, 1, 5, 3, 3, 3, 2, 4, 3, 3, 3]",L-21 L-51 L-71 S-93 S-87 L-9 L-51 L-4 L-51 L-71 
62,"[0, 5, 31, 36, 40, 45, 47, 49, 55, 58, 60, 61, 60, 19, 42, 43, 48, 34, 37, 42, 45, 48, 50, 53, 59, 63, 66, 91, 94, 99, 2, 14, 19, 22, 27, 84, 90, 91, 96, 99, 3, 8, 13, 18, 23, 24, 25, 30, 35, 38, 42, 44, 49, 53, 59, 60, 60, 61, 66, 69, 74, 75, 100]","[5, 4, 5, 4, 5, 2, 2, 6, 3, 2, 1, 3, 2, 2, 1, 5, 6, 3, 5, 3, 3, 2, 3, 6, 4, 3, 5, 3, 5, 3, 2, 5, 3, 5, 1, 6, 1, 5, 3, 4, 5, 5, 5, 5, 1, 1, 5, 5, 3, 4, 2, 5, 4, 6, 1, 4, 1, 5, 3, 5, 1, 5]",L-9 S-64 S-62 L-21 S-54 L-71 L-4 L-28 S-64 L-80 
36,"[0, 6, 7, 8, 11, 13, 14, 16, 20, 26, 27, 29, 30, 32, 37, 41, 42, 47, 49, 53, 56, 58, 59, 61, 19, 20, 26, 32, 37, 43, 45, 49, 67, 73, 74, 77, 100]","[6, 1, 1, 3, 2, 1, 2, 4, 6, 1, 2, 1, 2, 5, 4, 1, 5, 2, 4, 3, 2, 1, 2, 1, 1, 6, 6, 5, 6, 2, 4, 2, 6, 1, 3, 3]",S-62 L-51 L-80 
27,"[0, 3, 8, 10, 13, 16, 18, 42, 44, 49, 55, 56, 19, 22, 25, 31, 33, 37, 43, 49, 34, 38, 44, 47, 67, 72, 74, 100]","[3, 5, 2, 3, 3, 2, 3, 2, 5, 6, 1, 6, 3, 3, 6, 2, 4, 6, 6, 5, 4, 6, 3, 4, 5, 2, 6]",L-21 S-62 S-54 L-51 L-80 
18,"[0, 14, 18, 24, 27, 29, 35, 40, 43, 46, 67, 73, 76, 82, 84, 90, 92, 79, 100]","[4, 4, 6, 3, 2, 6, 5, 3, 3, 5, 6, 3, 6, 2, 6, 2, 6, 1]",L-4 L-51 S-98 L-80 
23,"[0, 3, 5, 6, 11, 15, 16, 18, 23, 29, 32, 38, 41, 44, 47, 53, 55, 57, 63, 65, 91, 94, 99, 100]","[3, 2, 1, 5, 4, 1, 2, 5, 6, 3, 6, 3, 3, 3, 6, 2, 2, 6, 2, 6, 3, 5, 1]",L-71 
16,"[0, 14, 15, 19, 22, 84, 86, 89, 75, 78, 84, 86, 89, 90, 92, 97, 100]","[4, 1, 4, 3, 6, 2, 3, 6, 3, 6, 2, 3, 1, 2, 5, 3]",L-4 L-28 S-95 
16,"[0, 2, 8, 13, 19, 20, 26, 31, 35, 40, 44, 47, 67, 69, 73, 78, 100]","[2, 6, 5, 6, 1, 6, 5, 4, 5, 4, 3, 4, 2, 4, 5, 2]",L-51 L-80 
30,"[0, 3, 8, 10, 12, 16, 22, 24, 26, 31, 37, 43, 47, 67, 72, 77, 79, 82, 24, 84, 89, 90, 75, 78, 82, 88, 92, 73, 77, 78, 100]","[3, 5, 2, 2, 4, 6, 2, 2, 5, 6, 6, 4, 4, 5, 5, 2, 3, 5, 4, 5, 1, 5, 3, 4, 6, 4, 1, 4, 1, 2]",L-51 S-87 L-28 S-95 S-93 L-80 
47,"[0, 6, 7, 12, 13, 16, 22, 23, 29, 31, 36, 37, 43, 44, 45, 49, 34, 39, 43, 45, 50, 53, 55, 59, 60, 19, 22, 25, 29, 35, 38, 41, 47, 48, 49, 34, 39, 44, 49, 55, 59, 63, 67, 69, 72, 77, 79, 100]","[6, 1, 5, 1, 3, 6, 1, 6, 2, 5, 1, 6, 1, 1, 4, 5, 5, 4, 2, 5, 3, 2, 4, 5, 2, 3, 3, 4, 6, 3, 3, 6, 1, 1, 5, 5, 5, 5, 6, 4, 4, 4, 2, 3, 5, 2, 1]",S-54 S-64 S-62 S-54 L-80 
102,"[0, 6, 11, 16, 19, 23, 25, 84, 89, 90, 75, 77, 81, 85, 88, 94, 97, 99, 14, 16, 22, 24, 29, 35, 37, 40, 44, 49, 34, 40, 46, 49, 55, 59, 19, 42, 44, 46, 49, 52, 58, 61, 19, 25, 84, 89, 75, 77, 81, 85, 86, 24, 30, 33, 38, 43, 48, 34, 39, 43, 46, 52, 55, 61, 66, 72, 78, 81, 83, 86, 91, 73, 78, 84, 89, 92, 94, 96, 97, 3, 6, 7, 8, 31, 37, 39, 44, 48, 53, 55, 60, 61, 67, 68, 73, 76, 79, 85, 88, 90, 94, 75, 100]","[6, 5, 5, 3, 4, 2, 3, 5, 1, 5, 2, 4, 4, 3, 6, 3, 2, 5, 2, 6, 2, 5, 6, 2, 3, 4, 5, 5, 6, 6, 3, 6, 4, 3, 2, 2, 2, 3, 3, 6, 3, 1, 6, 3, 5, 6, 2, 4, 4, 1, 1, 6, 3, 5, 5, 5, 6, 5, 4, 3, 6, 3, 6, 5, 6, 6, 3, 2, 3, 5, 2, 5, 6, 5, 3, 2, 2, 1, 6, 3, 1, 1, 1, 6, 2, 5, 4, 5, 2, 5, 1, 6, 1, 5, 3, 3, 6, 3, 2, 4, 1, 5]",L-28 S-95 L-4 S-54 S-62 L-21 S-62 L-28 S-95 S-87 S-54 S-93 L-9 S-95 L-80 
127,"[0, 6, 31, 37, 39, 45, 50, 55, 61, 19, 20, 25, 30, 32, 36, 42, 48, 49, 53, 56, 58, 60, 19, 22, 26, 32, 35, 40, 44, 47, 52, 58, 61, 66, 67, 73, 78, 81, 86, 24, 29, 31, 33, 35, 38, 42, 43, 49, 34, 38, 41, 44, 48, 49, 53, 57, 59, 61, 60, 60, 61, 19, 23, 27, 33, 35, 36, 37, 42, 47, 53, 57, 60, 60, 63, 60, 61, 66, 70, 74, 77, 81, 86, 24, 30, 36, 37, 40, 42, 48, 67, 70, 74, 78, 84, 89, 75, 76, 79, 82, 88, 73, 79, 82, 85, 90, 75, 77, 78, 82, 88, 91, 73, 74, 78, 79, 84, 88, 73, 79, 81, 84, 86, 88, 92, 73, 79, 100]","[6, 3, 6, 2, 6, 5, 5, 6, 1, 1, 5, 5, 2, 4, 6, 6, 1, 4, 3, 2, 6, 2, 3, 4, 6, 3, 5, 4, 3, 5, 6, 3, 5, 1, 6, 5, 3, 5, 1, 5, 2, 2, 2, 3, 4, 1, 6, 5, 4, 3, 3, 4, 1, 4, 4, 2, 2, 3, 4, 1, 1, 4, 4, 6, 2, 1, 1, 5, 5, 6, 4, 3, 4, 3, 1, 1, 5, 4, 4, 3, 4, 5, 1, 6, 6, 1, 3, 2, 6, 3, 3, 4, 4, 6, 5, 6, 1, 3, 3, 6, 5, 6, 3, 3, 5, 5, 2, 1, 4, 6, 3, 2, 1, 4, 1, 5, 4, 5, 6, 2, 3, 2, 2, 4, 1, 6, 1]",L-9 S-62 S-64 S-62 S-87 S-54 S-64 S-64 S-62 S-64 S-64 S-87 L-51 S-95 S-93 S-95 S-93 S-93 S-93 L-80 
62,"[0, 6, 11, 13, 18, 19, 25, 30, 36, 40, 41, 43, 49, 52, 56, 57, 19, 24, 25, 29, 31, 34, 36, 42, 47, 49, 50, 67, 73, 79, 83, 88, 73, 74, 77, 83, 24, 26, 29, 32, 34, 35, 38, 40, 44, 49, 52, 34, 36, 39, 43, 47, 48, 53, 55, 61, 60, 66, 67, 70, 75, 79, 100]","[6, 5, 2, 5, 1, 6, 5, 6, 4, 1, 2, 6, 3, 4, 1, 5, 5, 1, 4, 2, 3, 2, 6, 5, 2, 1, 1, 6, 6, 4, 5, 5, 1, 3, 6, 4, 2, 3, 3, 2, 1, 3, 2, 4, 5, 3, 2, 2, 3, 4, 4, 1, 5, 2, 6, 3, 6, 1, 3, 5, 4, 1]",S-62 L-51 S-93 S-87 S-54 S-64 L-80 
